SISN,IMAGE,REF_ADD,REF_FILE,REF_CREATOR,SCALE,CLASS,TITLE,DATECR,SCOPE,CREATOR,PHDESC,GMD,REST,CONT,AOCONT,NOTES,STATUS,WEBL,OPENDATE,BNOTE:BARCODE:BDISPLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200115,,RG 4-154,,CR054384,,,Items Given to Police,[1889-2013],,,21.9 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,List ; 1,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200116,,RG 4-154,,CR054394,,,HRC - Charges,[1889-2013],,,68.77 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,List ; 5,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200117,,RG 4-154,,CR054399,,,Items Given to Police - Warrants to Search,[1889-2013],,,73.73 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,List ; 3,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200118,,RG 4-154,,CR054402,,,Photos,[1889-2013],,,8.14 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,List ; 1,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200136,,RG 4-154,,CR054459,,,[Handwritten note - Circulate],03-Feb-88,,,8.18 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Notes (typed/handwritten) ; 1,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200138,,RG 4-154,,CR054461,,,February 6th - morning,[ca. 1989],,,14.5 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Memo ; 1,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200142,,RG 4-154,,CR054465,,,Parent Letters,03-Feb-89,,,14.97 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Memo ; 1,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200146,,RG 4-154,,CR054470,,,Calls Relating to Parent Letters,30-Jan-89,,,34.36 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Memo ; 1,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200147,,RG 4-154,,CR054471,,,Parent Phone Calls,31-Jan-89,,,40.83 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Memo ; 1,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2200149,,RG 4-154,,CR054473,,,Accident/Injury Report Summary,11-Jan-89,,,41.5 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Report ; 1,,Y,," :"" "":"" "":",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
