SISN,REFD,LEVELDES,TITLE,DATECR,DATEACM,PHDESC,REFD_HIGHER,SCOPE,RESTRTX,TGU,ISA,CUSTOD,ASSMAT,RELMAT,AVAIL,PHYSCO,NOTES,ACCRUAL,FCODES,STATUSD,WEBD,DATESUBJ,DATEDSRC_BEGINNING,DATEDSRC_END,SCALE,GMD_1,GMD_2,GMD_3,GMD_4,GMD_5,GMD_6,GMD_7,GMD_8,ADMBIO,INDEXGEO_1,INDEXGEO_2,INDEXGEO_3,INDEXGEO_4,INDEXGEO_5,INDEXGEO_6,INDEXGEO_7,INDEXGEO_8,INDEXGEO_9,INDEXGEO_10,INDEXGEO_11,INDEXGEO_12,INDEXGEO_13,INDEXGEO_14,INDEXGEO_15,INDEXGEO_16,INDEXGEO_17,INDEXGEO_18,INDEXGEO_19,INDEXGEO_20,INDEXGEO_21,MODDATE,INDEXPROV,INDEXNAME,INDEXSUB,HOWTO,FINDAID:FINDAIDLINK:FINDAID_URL,IIL:IIL_URL,DATEOFF:OFFICEAB:AB_REFA:OFFICEC:C_REFA
57,C 121,Fonds,A.W. Barton fonds,[191-?]-[ca. 1918],,79 photographs : glass negatives,,"Fonds consists of 79 glass photographic negatives depicting numerous Toronto and area scenes.  Subjects in the fonds include Canadian Expeditionary Force soldiers at the Canadian National Exhibition during World War One; numerous views of Toronto buildings and streets, including the Parliament Buildings at Queen's Park, the University of Toronto, the Old Mill, Howard Park Avenue Methodist Church, the Rushholme residence, the Dominion Bank on Danforth Avenue, a store front of Barton's Defender Photo Supply, and a race track (probably the old Woodbine race course).  A number of portraits are also included, some of which may be of members of Barton's family. The remainder of the collection covers miscellaneous subjects, including ships, the entrance to a special effects theatre (possibly at the C.N.E.), a convention of magpie enthusiasts, the Markham High School cadets, the Chevrolet Motor Company building (presumably in Oshawa), a wooden bridge over an unidentified river (possibly the Don River), and views of an early automobile and a child on a pull sleigh.",No access restrictions.,Copyright for these materials has expired. Permission from the Archives of Ontario is required for publication.,,Fonds was found in the attic of Barton's Oshawa home and donated to the Archives of Ontario in 1962 by Mr. M. Hofstetter.,,,,,"Title based on contents of fonds.  Fonds was found in the attic of Barton's Oshawa home, and the negatives have been attributed to Barton.  Some C 121-1 photographs are stored in CTS under the reference code C 59.",,Accession number: 3130.,Approved,Y,,1910,1919,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/29/2003,"Barton, A.W.",,,Please consult the online list to narrow down your search.,An online item listing is available for this fonds. : : :,: :,: : : : :
58,C 127,Fonds,John Lane fonds,[ca. 1900-1915],,148 photographs : negatives and prints,,"Fonds consists of photographic negatives and prints depicting landscapes and street scenes of Toronto and other areas of Ontario.  Fonds includes 8 glass negatives [190-], which feature scenes of Toronto, including the Toronto fire of 1904, an interior view of what may be the Toronto Council Chamber, and a pre-1910 view of Queen's Park from the south.  Also included are 71 photographic prints [190- ca. 1915] which provide views of various locations within Ontario, including Toronto (Don Valley and Rosedale ravines); Burlington (dedication of King Edward VII memorial; Brant House; Bell Park); Muskoka and Acton West. As well, there are scenes from Niagara Falls, Eldorado Park in Burlington, and a number of undetermined Ontario locales.  The fonds also includes Series C 127-3, consisting of 69 35 mm. negatives reproduced in 1971 by the Archives of Ontario from an album of John Lane photos. This segment of the fonds consists of photos taken [190-] of landscape and street scenes from various locales in and near Toronto, Ontario.",No access restrictions.,Records are in the public domain. Permission of the Archives of Ontario is required for publication.,"The fonds was donated by Charles Lane of Williamsville, New York in two accessions, in 1971 and 1972. The 1971 accession included originals as well as 69 negatives acquired on a copy loan basis.",,,,,,Title based on contents of fonds.,,Accession numbers 9238 and 9355.,Approved,Y,,1895,1920,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/20/2003,"Lane, John, 1862-1936",,,Please consult the series descriptions to narrow down your search.,See series descriptions for information on finding aids. : : :,: :,: : : : :
59,C 128,Fonds,Duncan Donovan fonds,[ca. 1890]-1935,,709 photographs : negatives and prints; .5 centimetres of textual records,,"Fonds consists of photographs created by Duncan Donovan, including portraits of people and scenes from eastern Ontario, particularly of Glengarry County, as well as the counties of Vaudreuil and Soulanges in Quebec.  Fonds includes glass plate negatives [ca. 1890-1929] depicting portraits of individuals from Glengarry County and western Quebec. Included are portraits of Roman Catholic clergy and nuns from the Glengarry area; sports teams, including lacrosse, hockey, and basketball teams, as well as an unidentified boxer; and military personnel. Also, there are scenes of streets, buildings, sleighs and machinery, as well as individuals and crowds at events such as St. Jean Baptiste day, parades, games and races.  A studio record book, covering the period 1895-1911, is included in the fonds, and was used to record visits to the studio by Donovan's clients.","A number of glass plate negatives are broken or in fragile condition, and may be viewed only with permission from a Reference Archivist. Access to the remainder of the fonds is not restricted.",Records are in the public domain. Permission of the Archives of Ontario is required for publication.,,"Following his purchase of the Donovan studio, P.A. Charlebois moved Donovan's plates, along with his own, into the loft of a shed in his backyard where they remained until transferred in 1970 to the Archives of Ontario. The Archives acquired the bulk of the photographs in 1970 from P.A. Charlebois, but transferred some 2,500 cabinet portraits shortly thereafter to the Glengarry Historical Society. A number of existing photographs were destroyed in a fire while in transit. The Archives acquired several additional photographs in 1972.",,,Copy prints or negatives are available for approximately one third of the photographs in this fonds.  Some of the photographs from this fonds are available in digital format in the Archives of Ontario Visual Database. Please see series descriptions.,,Title based on contents of fonds.,,Accession number 6906; accession number of second donation unknown.,Review,Y,,1890,1935,,Graphic materials,Textual records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/27/2003,"Donovan, Duncan, 1857-1933",,,"Please consult the series and sub-series descriptions, and associated listings, to narrow down your search.",See series and sub-series descriptions: some listings are available. : : :,: :,: : : : :
60,C 129,Fonds,Charles A. McWilliams fonds,[ca. 1888],,76 photographs : glass negatives,,"Fonds consists of 76 glass negatives depicting portraits of groups standing in front of churches, at congregational functions and at other locations. Churches depicted are unidentified, although St. Bartholomew's Roman Catholic church on Amherst Island, as well as the mission church of St. Linus in Bath, Ontario appear to be shown. As well, a number of unidentified views of houses and buildings are included, as are scenes along the Rideau Canal.",Access to glass negative C 129-1-0-6-1 is restricted for conservation purposes. Access to remainder of fonds is not restricted.,"Records are in the public domain. Permission of the Archives of Ontario is required for publication; submit a Request for Permission to Publish, Exhibit or Broadcast Form.",,"Fonds was stored at St. Mary's Cathedral in Kingston, Ontario until it was acquired from a Kingston source by the Archives of Ontario in 1971.",,,,,Title based on contents of fonds.,,Accession number: 9137.,Approved,Y,,1888,1888,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/20/2003,"McWilliams, Charles A., d. ca. 1920",,,"Please consult the online list to narrow your search, and order the appropriate box(es).",An online list is available for this fonds. : : :,: :,: : : : :
61,C 130,Fonds,Marsden Kemp fonds,[ca. 1898-ca. 1930],,"896 photographs : glass negatives,  nitrate negatives, glass lantern slides, and prints ; black and white",,"Fonds consists of black and white photographs that document Eastern Ontario communities, recreation, steamships, people and events in the early 20th century. The photographs are primarily glass plate negatives although nitrate negatives, glass lantern slides and prints are also included.  The photographs are the output of Kemp's amateur passion for photography; he was known to travel Eastern Ontario by bicycle capturing images from that era on photograph. The fonds consists of images primarily from Picton and Kingston as well as a number of portraits of Kemp, his family, and likely others with whom he associated although the nature of those associations or relationships has not been identified.  Whatever original order existed in this fonds has been lost. Sequential numbers were assigned to the negatives by George Miller, the antique dealer who found the negatives, but no rationale for this arrangement appears evident other than perhaps the order in which the photographs were found or described by Mr. Miller. Since the bulk of the photographs are undated a chronological arrangement could not be adopted. Instead, the photographs have been arranged into six series based upon subject matter.  The prints in this fonds were produced ca.1968 and have been included in the series descriptions only when they are the sole surviving images (i.e. the original negatives are not extant)",Access to the original glass plate negatives will only be permitted where a print is not available and provided that the negatives are not closed for conservation reasons.,"Records are in the public domain. There are no restrictions on reproduction, however, permission of the Archives of Ontario is required for publication; submit a Request for Permission to Publish, Exhibit or Broadcast Form.",,"The Marsden Kemp glass plate negatives were found in the 1960s by a Picton antique dealer, George Miller. Miller found about 4,000 to 5,000 negatives and managed to salvage almost 1,000 of them as the passage of time and the storage conditions had taken their toll on most of the negatives.   He also had prints made from many of the negatives. Mr. Miller numbered and compiled descriptions of these negatives in a notebook. The source of his information for these descriptions is unclear since relatively few of the glass plate negatives have inscriptions. Miller's notebook reveals possible contacts who knew Marsden Kemp and who, in turn, may have provided some of the identifications. Alternatively, there may have been some documentation, such as the original enclosures, which provided this information. In any case, the content of a large number of the photographs remained unidentified. In 1968 the Archives of Ontario acquired 64 copy prints of the negatives from Mr. Miller and in 1970 acquired the original glass negatives from Thomas Bouckley of Oshawa. One single copy print was donated from another source in 1967, although it was not identified as a Marsden Kemp photograph at the time of donation.",,,Some of the photographs from this fonds are available in digital format in the Archives of Ontario Visual Database. Please see series descriptions.,,Title derived from the creator of the fonds.,,"Accessions: 4963, 6358, 6899.",Approved,Y,,1895,1935,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/20/2002,"Kemp, Marsden",,,"To view this material, consult series descriptions and associated lists to round down your search and then order the relevant container(s).",Series descriptions and some lists are available for the records in this fonds. : : :,: :,: : : : :
62,C 146,Fonds,R.J. Russell fonds,[188?]-1948,,206 photographs : glass and film negatives,,"Fonds consists of glass negatives and film negatives taken by R.J. Russell and Charles E. Lee. They depict people and activities related to the two Ontario towns of Haileybury and Listowel.  The glass negatives in the fonds and 2 of the film negatives were taken by Charles E. Lee, father of Frank Lee in [188?]1948. These include studio portraits; depiction of Christ Church choir; football and baseball teams; Marlboro Old Boys football club; a high school class; and military units, including 8th Company, 28th Regiment. As well, street scenes, events and people relating to Listowel are part of the collection.  The remaining film negatives (many of which are cellulose nitrate) were taken by R.J. Russell between 1922-1948. Subjects include street and area scenes of Haileybury, as well as the aftermath of the 1922 Haileybury fire, (although several images may be of New Liskeard); pictures of a railway (perhaps Toronto and Northern Ontario railway); Lake Temiskaming; and other scenes of Listowel, including churches, residences, stores, factories, parades, vehicles, floods and fires.  Fonds has been arranged into 2 series.",No access restrictions.,Photographs less than 50 years old are subject to reproduction and publication restrictions. Other records are in the public domain. Permission of the Archives of Ontario is required for publication.,Fonds was donated to the Archives of Ontario in 1980 by Russell's daughter.,"Russell worked briefly in Kincardine for Frank Lee, the son of Listowel photographer, Charles A. Lee (who operated a studio from 1882 until his death, ca. 1921 or 1922). In 1923, Russell bought the negatives of Lee's operation. That same year, Russell set up a Listowel studio which was in operation for over 50 years. Russell continued to work until his death in 1974 at age 83.",,,,,Title based on contents of the fonds.  Some of the Listowel copy negatives attributed to Russell probably were originally taken by Charles A. Lee.,,Accession number 13563.,Approved,Y,,1880,1948,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/27/2003,"Russell, R.J., ca. 1890-1974",,,Consult the series and sub-series descriptions for information on how to view these records.,There are item listings available for series C 146-1 and C 146-2. See series descriptions for more information. : : :,: :,: : : : :
63,C 147,Fonds,William Morgan Jones fonds,[189-]-[192-?],,"142 photographs : glass plate negatives, prints, and postcards",,"Fonds consists of photographs depicting the Lake Timiskaming District of Ontario and its Quebec counterpart (Temiscaming), ca. 1900. The fonds is made up of a variety of formats, and subjects include steamships, landscapes, and views of activities such as fishing and farming. As well, there are photos of aboriginal peoples, including families and groups of people canoeing, hunting and camping. Many of the photographs were taken by Montreal photographer J.G.S. Bennett, while some were taken by B. Charron as well as by Jones.  Fonds includes 2 photograph albums consisting of interior and exterior views of steamships. As well, the albums contain views of rivers and rapids, railroads and settlements, farms and blacksmithing.  Also, 13 glass plate negatives are included, with images depicting a house and views of a body of water. The house may be that of Jones, while the body of water may be Lake Timiskaming or the Ottawa River.  As well, there are 61 photographs taken by J.G.S. Bennett as well as by unknown photographers. The images depict scenery along Lake Timiskaming, the Montreal and Kipiwa Rivers, C.P.R. crews, and aboriginal peoples. As well, there are views of a fort (perhaps Fort Timiskaming), an interior storage area with produce, a wedding portrait, and a photograph of Edward VIII (as Prince of Wales) canoeing through timber slides near Ottawa.  Fonds also contains 20 postcards [190-]- [192-?] depicting ships and ports along Prescott, Ontario as well as Lake Huron or Georgian Bay. The postcards were collected by Jones.",No restrictions on access.,"Records are in the public domain. There are no restrictions on reproductions, however permission of the Archives of Ontario is required for publication; submit a Request for Permission to Publish, Exhibit or Broadcast Form.","The Archives of Ontario acquired the fonds from a dealer in 1978, who apparently acquired it from the estate of W.M. Jones.",,,,,,Title based on contents of fonds.,,Accession number 12905.,Approved,Y,,1890,1929,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/20/2003,"Jones, W. M.",,,"To view this material, first consult series descriptions to narrow down search.",Item listings are available for most series in this fonds. See series descriptions for more information. : : :,: :,: : : : :
64,C 154,Fonds,J.J. McFadden fonds,[189-?]-1955,,141 photographs : black and white prints; 2 reports (Includes 32 photographs : black and white prints),,"Fonds consists of photographs related to the activities of J.J. McFadden's logging company in northern Ontario and Michigan. Subjects include ice damage along the Niagara River in 1938, timber rafts and lumber camps, horse-drawn delivery and hauling of supplies and timber, views of the Pronto Uranium Mines, numerous photographs of sports teams, and of small town buildings.  Included are various shots of lumber camp life and of square timber being hewed. There are photographs of an early horse drawn oil delivery wagon and large format shots of a Canadian Lumbermen's Association banquet and of square timber rafts showing the details of construciton.",No restrictions on access.,"Copyright for much of the fonds has expired. Copyright for other portions of the fonds rests with the creator. To find out more about the copyright status of the particular material you wish to use, consult a Reference Archivist. There are no restrictions on reproduction for research and private study. If you wish to use other than for research and private study any of this material, submit a Request for Permission to Publish, Exhibit or Broadcast Form.","Fonds was donated to the Archives of Ontario in 1977 by Mary Allodi of Toronto, Ontario.",,,,,,Title based on contents of fonds.,,Accession number 11838,Approved,Y,,1890,1955,,Graphic materials,Textual records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"McFadden, J.J., 1863-1953",,,Consult the online list to identify the records that you require. Order using reference code and barcode number.Please note that this material may be stored off-site. A minimum of 1 business day is required to retrieve off-site material from storage. Please contact a Reference Archivist for more information.,An online list is available for this fonds. : : :,: :,: : : : :
65,C 156,Fonds,Frank X. Amoss fonds,[ca. 1907]-1962,,ca. 840 photographs,,"Fonds consists of 3 albums, along with 238 additional prints, including panoramas and postcards, related to the activities and life of Frank X. Amoss. Most of the photographs depict construction of the National Transcontinental Railway in various northern Ontario and Quebec locations 1907-1914.  Fonds includes 3 albums (ca. 600 photographs) of prints depicting the career of Amoss as railway engineer of the Grand Trunk Pacific Railway Company. Photographers for some of the pictures are thought to be D. Ward and J.P. Bourgeois, while for others it may be Amoss himself, his wife or members of his railroad construction crew. Most of the photos depict railroad construction of the National Transcontinental Railways in Northern Ontario, and were taken in the Lake Nipigon and Armstrong regions. Included are views of actual construction, landscapes and everyday life of the workers. Depicted among the photos are views of hunting, fishing, trapping, sleighs with dog teams and various leisure activities. There are also photos of aboriginal people, forest fires, local villages and Hudson's Bay Company trading posts, and various winter scenes.  Along with the Northern Ontario views, there are several photos of the village of Amos, Quebec, on the Riviere Harricana. These photos show a railway bridge and the G.T.P. Station. As well, there are photos of the Amoss family taken in Corinth, Coldwater and Port McNicol, Ontario. These include photos of Amoss' 1908 high school graduation class and photos of his 1911 honeymoon. In addition, this album has photos of the 1910 railroad accident at Corinth.  As well, the fonds includes 56 5"" x 7"" prints depicting activities related to construction of the National Transcontinental Railway in northern Ontario, ca. 1913-1914. Subjects include railroad construction, machinery, locomotives, railroad accidents and work camps. The photographer is unknown (possibly Amoss), and the locale may be at the Abitibi Bridge near Cochrane, Ontario.  Fonds also includes 148 photographs (predominantly 191-?-1962), as well as several hand- or mechanically-coloured postcards, taken or collected by Amoss. Subjects include railroad construction and life in northern Ontario, including scenes of hunting, fishing and family life; scenes from Corinth, Ontario, including family portraits and photos of the school where Amoss' father and sister served as principal; and Amoss' military service during World War One, including views of Amoss and his Battalion members. As well, there are postcards of Torquay, England and of Atlantic City, New Jersey.  In addition, there are 34 11"" x 3"" panoramic photographs, depicting views of locations in northern Ontario. The subjects include camps and people, canoeing, railway construction, landscapes and Canadian railway troops during World War One. The photographer is unknown.",No access restrictions.,"Copyright for many of the photographs in this fonds has expired, and most photos can be reproduced and/or published. Copyright for other portions of the fonds rests with the creator. Permission of the Archives of Ontario is required for publication.","Fonds was acquired by the Archives of Ontario from a Hamilton, Ontario donor in 1978.",,,,Some of the photographs from this fonds are available in digital format in the Archives of Ontario Visual Database. Please see series descriptions.,,Title based on contents of fonds.,,Accession number 12060.,Approved,Y,,1905,1962,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/22/2003,"Amoss, Frank X.",,,Please consult the series descriptions to narrow your request.,See series descriptions for more information. : : :,: :,: : : : :
66,C 176,Fonds,Annie Elizabeth Saunders fonds,[189-]-1923,,72 photographs : black and white,,"Fonds consists of cabinet cards, cartes-de-visite, gelatin prints and post cards (both black and white and hand-coloured) taken or collected by A.E. Saunders. The photos depict her family life and nursing career and include views taken in England, South Africa and Cobalt, Ontario. Some of the amateur prints were taken either by A.E. Saunders herself (although none explicitly identify her as the photographer), Dorothy May Saunders, a relative by marriage, or other nurses. Others were taken by professional photographers. Some of the photos have identifying information and dates written on the back.  The majority of the photos depict Cobalt, especially the Cobalt Mines Hospital. The Cobalt views, many on post cards, depict mines, street scenes, and various buildings. Of particular interest are views of the 1909 and 1912 Cobalt fires, and views of Sir Wilfrid Laurier opening the Y.M.C.A. on September 18, 1912. There are also interior and exterior views of the Cobalt Mines Hospital, portraits of nursing staff (including A.E. Saunders), and photos of nurses with patients.  As well, there are portraits of nurses in Great Britain during World War I, including some of nursing staff with military personnel. There are also a number of Saunders family portraits taken in England and Canada, with some identification. Finally, there are pre- Boer war views of nurses and a hospital facility in South Africa.",No access restrictions.,Records are in the public domain. Permission of the Archives of Ontario is required for publication.,,"The fonds was donated to the Archives of Ontario in 1984 by the National Cathedral in Washington, D.C., which in turn had received it around 1982 from Raymond Saunders of Medford, Oregon, son of Mrs. A.E. Saunders.",,,,,Title is based on contents of fonds.,,Accession number 16448.,Approved,Y,,1890,1923,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/17/2003,"Saunders, A.E. (Annie Elizabeth)",,,"To view materials, request C 176 in container B-1291 (barcode B410680).",An online file listing is available for this fonds. : : :,: :,: : : : :
67,C 193,Fonds,Julien LeBourdais fonds,1963-2003,,"ca. 131,000 photographs : black and white and colour negatives; ca. 15,000 photographs : black and white and colour contact prints",,"Fonds consists of photographs taken by Julien LeBourdais, a Toronto-based professional photographer.  The photographs document a wide range of subjects including prominent sports figures, politicians, artists, entertainers, business leaders, and royalty. In addition to notable personalities, the photographs also cover political events including campaigns and elections, diplomatic visits to Ontario, activities of major labour unions, factories and workers, sporting events, protests, and various geographic regions throughout the province. While the vast majority of the photographs are of Ontario events and personalities, some have a wider national or international context.  The arrangement of photographs reflects Julien LeBourdais' original filing system in the first three series and his own arrangement in the remaining series.",Please see individual series and sub-series descriptions.,Please see individual series and sub-series descriptions.,The Archives of Ontario acquired the Julien LeBourdais fonds in two donations in 1997 and 2004.,,,,,,Title is based on the contents of the fonds.,,,Approved,Y,,1963,2003,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"LeBourdais, Julien, 1944-",,,Please see individual series and sub-series descriptions.,Please see individual series and sub-series descriptions. : : :,: :,: : : : :
68,C 199,Fonds,Northern Ontario photographic collection,1902-1915,,65 photographs : glass plate negatives,,"Collection consists of glass plate negatives of street scenes and community activities in the following Northern Ontario communities: Bear Island, Blind River, Bruce Mines, Englehart, Golden City, Haileybury, Kirkland Lake, Milberta, New Liskeard, North Bay, Schumacher, Severn Falls, South Porcupine, Temagami, Thessalon, and Timmins. The photographer is unknown.",Glass plate negatives are closed for conservation reasons. Please request copy prints in container B-1279. There are no other restrictions to access.,Copyright for this material has expired. Permission of the Archives of Ontario is required for publication.,Collection was donated to the Archives of Ontario by the Canadian Baptist Archives in 1984.,,,,Copy prints of the glass plate negatives are available.,,"Title based on subject of collection.  Photography is attributed to Reverend C.J. Cameron, a Canadian missionary working in Northern Ontario.",,Accession Number: 16446.; Formerly C 224-0-0-32.,Approved,Y,,1902,1915,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/25/2003,,,,"To order records, request C 199 copy prints, container B-1279 (barcode B410679 ).",An online item listing is available. : : :,: :,: : : : :
69,C 219,Fonds,Humber River photographic collection,1910,,10 photographs,,"Collection consists of glass plate negative photographs depicting the Humber River in Toronto. Views include the Bloor Street Bridge, the mouth of the Humber River, and industry along the riverbanks. The photographer is unknown.",Glass plate negatives are closed for conservation reasons. Copy prints of these images are available in container B 1279. There are no other restrictions on access.,Copyright for this material has expired. Permission of the Archives of Ontario is required for publication.,"This collection was acquired by the Archives of Ontario in 1988 from the the Department of Botany, Royal Ontario Museum.","This collection was acquired by the Archives of Ontario in 1988 from the the Department of Botany, Royal Ontario Museum. The collection was donated to the ROM from the University of Toronto Vascular Plant Library in 1982.",,,Copy prints of the glass plate negatives are available.,,Title based on subject of collection.,,"Accession Number: 21177, formerly C 224- 0- 0-33.",Approved,Y,,1910,1910,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/09/2003,,,,"To order records, please request C 219 copy prints, container B 1279 (barcode B410679).",An online list is available for this fonds. : : :,: :,: : : : :
70,C 222,Fonds,Henry J. McCracken fonds,1986,,20 photographs : colour 35 mm slides,,"Fonds consists of photographs pertaining to McCracken's career as a pilot and flight instructor. The slides taken by McCracken depict aerial views of Eastmain River, Great Whale River, Port Harrison, Richmond Gulf, Belcher Islands and Rupert's House in northern Ontario, as well as pictures of camps, airplanes and people.",No restrictions on access.,Copyright for photographs held by creator. These materials cannot be published without permission of copyright holder.,Fonds was donated to the Archives of Ontario in 1986 by Henry J. McCracken.,,,"See series RG 17-3-0-59 (AV 228-4, Side A) for a recording of an oral history interview with McCracken.",,,Title based on immediate source of acquisition.,,Accession number 16863.,Approved,Y,,1986,,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/29/2003,"McCracken, Henry J.",,,"To access this material, please request C 222 (barcode B378837).",No finding aid is available for this fonds. : : :,: :,: : : : :
71,C 231,Fonds,Walter Moorhouse fonds,1905-1957,,ca. 5011 photographs; 600 metres of motion picture film,,"The Walter Moorhouse fonds consists of photographs and motion picture film taken by Walter Moorhouse depicting Moorhouse�s family, his homes, and the community in which he lived.    Moorhouse also captured the activities and students at the schools where he was employed,  as well as those of the Daily Vacation Bible School and the Y.M.C.A. where he volunteered.  There is a significant number of landscape photographs taken during Moorhouse's travels throughout Ontario, Quebec, Western Canada, Germany, and England as well as still life photographs of animals, flowers, trees, and various inanimate objects.  Moorhouse's images provide a wealth of visual documentation concerning clothing and dress, social and family relationships, recreation and toys, and the lifestyle of an affluent family during the early 20th century.  The fonds is arranged into eighteen series.",Access to the original glass plate negatives will only be permitted where a reference copy is not available.  Access to glass lantern slides and other formats is permitted unless the material is closed for conservation.,"Copyright was transferred to the Archives of Ontario by the donor. No restrictions on reproduction or publication of material for which the donor is authorized to transfer the copyright to the Archives.  Other material may require permission of third party copyright holders. Researchers should note, however, that copyright has expired for some records.  See series descriptions for further details.","The photographs created by Walter Moorhouse became the property of his children after his death in 1957. The material in this fonds was acquired by the Archives of Ontario in two separate donations.  The first was received in 1990 from Eleanor Moorhouse, wife of the late Walter Wilson Moorhouse.  The second was acquired in 1991 from Noreen Clark (nee Moorhouse).",,"Approximately 1,000 negatives taken by Walter Moorhouse are in the custody of the Toronto Board of Education Archives.  These negatives focus exclusively on the activities and students at Jarvis Collegiate.",,,,Title based on the contents of the fonds.,,,Approved,Y,,1905,1957,,Graphic materials,Moving images,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Moorhouse, Walter, 1883-1957",,,Researchers should first consult individual series descriptions and their accompanying listings to narrow down their search.,On-line listings are available for each series. Please see series descriptions. : : :,: :,: : : : :
72,C 232,Fonds,William T. Clegg fonds,[ca.1832] - [ca.1845],,19 watercolours,,"Fonds consists of watercolours depicting various locations on the Rideau Canal created by William T. Clegg. The watercolours may have been prepared to document the construction of the canal for presentation to visiting officials. The drawings are not signed and dated, but have information regarding location written on the verso. The watercolours identify various lock stations along the Rideau Canal from Bytown (Ottawa) to Kingston: Hartwell's locks; Hog's Back; Black Rapids; Long Island; Burritt's Rapids; Nicholson's Rapids; Clow's Rapids; Merrick's Mills; Maitland's Locks; Edmund's Mills; Old Sly's Locks; Smith's Falls; First Rapids; Narrows; Isthmus; Chaffey's Mills; Davis; Brewer's Lower Mills; and Kingston's Mills.",The original watercolours are closed. Researchers must consult the reference slides or the Visual Database.,Copyright for this material has expired. All requests for permission to publish must be submitted in writing to the Senior Portfolio Archivist responsible for Photographic Records and Documentary Art.,No acquisition information is available for this fonds.,,"Clegg watercolours exist in the following collections and institutions : Library and Archives Canada; Sigmund Samuel Collection of Canadiana, Royal Ontario Museum (ROM). A number of Clegg watercolours are reproduced in Robert W. Passfield, Building the Rideau Canal: a pictorial history (Toronto, 1982); --- Engineering the Defence of the Canadas: Lt.Col. John By and the Rideau Canal. Manuscript Report Series No. 212. (Parks Canada, Ottawa, 1976). Also, Early Painters and Engravers in Canada, by J. Russell Harper contains more information on works in private collections.",,All watercolours are available as reference slides. Colour and b&w transparencies are available for reproduction purposes.,,"These watercolours were originally attributed to John Burrows. After examination of three sets of Rideau Canal drawings in the custody of the National Archives of Canada; two by John Burrows and one by William Clegg, after John Burrows; and, drawings by William Clegg in other repositories and publications, it is believed that the set of watercolours held by the Archives of Ontario can be attributed to William T. Clegg, after John Burrows.  It is likely that a set of watercolours was prepared by John Burrows, civil engineer, surveyor and artist who was appointed by Colonel John By as Clerk of the Works to document various sections of the Rideau Canal Construction system and copied with later additions and modifications by William Clegg.  Title supplied from contents of fonds.",,,Approved,Y,,1830,1847,,Graphic materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/23/2001,"Clegg, William T., 1796-1894",,,"First consult the online listing to narrow down search, or simply request box D-158 (barcode B378930) to view the reference slides.",An online item listing is available for this fonds. : : :,: :,: : : : :
