SISN,IMAGE,REF_ADD,REF_FILE,REF_CREATOR,SCALE,CLASS,TITLE,DATECR,SCOPE,CREATOR,PHDESC,GMD,REST,CONT,AOCONT,NOTES,STATUS,WEBL,OPENDATE,BNOTE:BARCODE:BDISPLAY,,
1665338,,F 1183-1-1,F 1183-1-1-4,,,,File consists of general correspondence created and accumulated by Norman Roy Clifton.,1944-1948,,,1 file of textual records,Textual records,,MU1164,,,,Y,," :""B299841 "":""Y"":",,
1665339,,F 1183-1-1,F 1183-1-1-5,,,,File consists of general correspondence created and accumulated by Norman Roy Clifton.,1949-1953,,,1 file of textual records,Textual records,,MU1165,,,,Y,," :""B299840 "":""Y"":",,
1665340,,F 1183-1-1,F 1183-1-1-6,,,,File consists of general correspondence created and accumulated by Norman Roy Clifton.,1954-1963,,,1 file of textual records,Textual records,,MU1166,,,,Y,," :""B299839   "":""Y"":",,
1665341,,F 1183-1-1,F 1183-1-1-7,,,,File consists of general correspondence created and accumulated by Norman Roy Clifton.,1964-1975,,,1 file of textual records,Textual records,,MU1167,,,,Y,," :""B299838 "":""Y"":",,
1665342,,F 1183-1-1,F 1183-1-1-8,,,,File consists of general correspondence created and accumulated by Norman Roy Clifton.,1976-1982,,,1 file of textual records,Textual records,,MU1168,,,,Y,," :""B299837"":""Y"":",,
1665343,,F 1183-1-1,F 1183-1-1-9,,,,File consists of general correspondence created and accumulated by Norman Roy Clifton.,1983-1984,,,1 file of textual records,Textual records,,MU1169,,,,Y,," :""B299836  "":""Y"":",,
1665344,,F 1183-1-1,F 1183-1-1-1,,,,File consists of general correspondence created and accumulated by Norman Roy Clifton.,1924-1940,,,1 file of textual records,Textual records,,MU1161,,,,Y,," :""B299844 "":""Y"":",,
1665345,,F 1183-1-1,F 1183-1-1-2,,,,File consists of general correspondence created and accumulated by Norman Roy Clifton.,1941-1943,,,1 file of textual records,Textual records,,MU1162,,,,Y,," :""B299843 "":""Y"":",,
1665346,,F 1183-1-1,F 1183-1-1-3,,,,File consists of general correspondence created and accumulated by Norman Roy Clifton.,1943-1944,,,1 file of textual records,Textual records,,MU1163,,,,Y,," :""B299842"":""Y"":",,
1665347,,F 1183-1-1,F 1183-1-1-4,,,,File consists of general correspondence created and accumulated by Norman Roy Clifton.,1944-1948,,,1 file of textual records,Textual records,,MU1164,,,,Y,," :""B299841 "":""Y"":",,
1665348,,F 1183-1-1,F 1183-1-1-5,,,,File consists of general correspondence created and accumulated by Norman Roy Clifton.,1949-1953,,,1 file of textual records,Textual records,,MU1165,,,,Y,," :""B299840 "":""Y"":",,
1665349,,F 1183-1-1,F 1183-1-1-6,,,,File consists of general correspondence created and accumulated by Norman Roy Clifton.,1954-1963,,,1 file of textual records,Textual records,,MU1166,,,,Y,," :""B299839   "":""Y"":",,
1665350,,F 1183-1-1,F 1183-1-1-7,,,,File consists of general correspondence created and accumulated by Norman Roy Clifton.,1964-1975,,,1 file of textual records,Textual records,,MU1167,,,,Y,," :""B299838 "":""Y"":",,
