SISN,REFA,HEADING,DATEEX_BEGINNING,DATEEX_END,FUN,ADM,VAR_1,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,SOURCE,SUC_1,SUC_2,SUC_3,SUC_4,DATECONT_1_BEGINNING,DATECONT_1_END,CONTAG_1,DATECONT_2_BEGINNING,DATECONT_2_END,CONTAG_2,DATECONT_3_BEGINNING,DATECONT_3_END,CONTAG_3,DATECONT_4_BEGINNING,DATECONT_4_END,CONTAG_4,DATECONT_5_BEGINNING,DATECONT_5_END,CONTAG_5,DATECONT_6_BEGINNING,DATECONT_6_END,CONTAG_6,DATECONT_7_BEGINNING,DATECONT_7_END,CONTAG_7,DATECONT_8_BEGINNING,DATECONT_8_END,CONTAG_8,DATECONT_9_BEGINNING,DATECONT_9_END,CONTAG_9,DATECONT_10_BEGINNING,DATECONT_10_END,CONTAG_10,DATECONT_11_BEGINNING,DATECONT_11_END,CONTAG_11,DATECONT_12_BEGINNING,DATECONT_12_END,CONTAG_12,DATECONT_13_BEGINNING,DATECONT_13_END,CONTAG_13,DATECONT_14_BEGINNING,DATECONT_14_END,CONTAG_14,AUTHTP_1,AUTHTP_2,NAME,AA,PAR_1,PAR_2,PAR_3,PAR_4,SEEALSO,PRED_1,PRED_2,PRED_3,PRED_4,PRED_5,RULES,STATUSA,WEBA
3700,AA50,Ontario. Dept. of Lands and Mines,,,"The Department of Lands and Mines was responsible for the surveying of crown lands, issuing licenses of occupation to intending settlers, keeping a register of assignments of claims to land, issuing patents, and collecting and acquiring information concerning the mines of the province.","The Department of Lands and Mines was established in 1905, when the forestry functions of the former Department of Crown Lands were transferred to the Department of Agriculture, and an act was passed which renamed the Commissioner of Crown Lands the Minister of Lands and Mines. With this change, the title of the Department of Crown Lands was also changed to the Department of Lands and Mines. The Bureau of Colonization, formerly attached to the Department of Crown Lands, was also transferred to the Department of Agriculture at this time. Both the Surveys Branch and the Bureau of Mines, which was placed under the direction of a Deputy Minister, continued to exist within the Department of Lands and Mines. On April 27, 1906, legislation was passed whereby the Department of Lands and Mines was replaced with the Department of Lands, Forests and Mines, and the Minister of Lands and Mines was renamed the Minister of Lands, Forests and Mines.",,,,,,,,,,,,"Canadiana Name Authorities, 1996-12-24. MacTaggart, Hazel. Publications of the Government of Ontario, 1901-1955 (1964)","Ontario. Dept. of Lands, Forests and Mines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Lands and Mines,,,,,,,Ontario. Dept. of Crown Lands,,,,,Rules for Archival Description,Approved,Y
3703,AA51,"Ontario. Dept. of Lands, Forests and Mines",,,"The Department of Lands, Forests and Mines was responsible for controlling and developing the Crown Lands, forest resources, and mining interests of the Province.","The Department of Lands, Forests and Mines was established on April 27, 1906, replacing the Department of Lands and Mines (formerly the Department of Crown Lands). The head of the Department was the Minister of Lands, Forests and Mines. Branches and Bureaus that were attached to the Department during its existence included: the Forestry Branch (1912- 1920); the Colonization and Immigration Branch (1916-1920); the Bureau of Mines (1906-1920); the Northern Development Branch (1912-1920); the Lands Branch (1906-1920); and the Surveys Branch (1906-1920). In 1920, the Bureau of Mines was elevated to Department status, becoming the Department of Mines. With this change, the remaining functions of the Department of Lands, Forests and Mines were continued as the Department of Lands and Forests.",,,,,,,,,,,,"MacTaggart, Hazel. Publications of the Government of Ontario 1901-1955 (1964). Canadiana Name Authorities, 1996-12-24",Ontario. Dept. of Lands and Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,"Department of Lands, Forests and Mines",,,,,,,Ontario. Dept. of Lands and Mines,,,,,Rules for Archival Description,Approved,Y
3709,AA53,Ontario. Dept. of Mines,,,"The Department of Mines was responsible for promoting and expanding the mining interests of the Province. In the later years of its existence, the Department also began to take a broader interest in the overall structure of the industry, focusing attention on activities such as resource processing, worker health and safety, and pollution controls.","In 1920, the Bureau of Mines was separated from the Department of Lands, Forests and Mines and re-established as the Department of Mines. The two primary branches within the department were the Mines Inspection Branch, administered by the Chief Inspector of Mines, and the Geological Branch, which was under the direction of the Provincial Geologist. Other branches established within the Department included the Mines Inspection Branch, the Laboratory Branch, and an Administrative Services Branch. The Mining Commissioner also reported through the Department. The Department was renamed the Department of Mines and Northern Affairs in 1970.",,,,,,,,,,,,"MacTaggart, Hazel. Publications of the Government of Ontario, 1901-1955 (1964). Canadiana Name Authorities, 1996-12-24. Directory and Guide to Services of the Ontario Government, 1948-1966",Ontario. Dept. of Mines and Northern Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Mines,,,,,,,Ontario. Bureau of Mines,,,,,Rules for Archival Description,Approved,Y
3710,AA54,Ontario. Dept. of Mines and Northern Affairs,,,"The Department of Mines and Northern Affairs was responsible for the development and regulation of the mining industry in Ontario, and for providing solutions to government-oriented problems of people living in the northern part of the province. Activities of the Department included: the provision of geological services and information; supervision of regulations governing the operations of mines, and the safety of miners; the provision of services in connection with the public's acquisition and use of Crown Lands for mining purposes; and assisting the people of Northern Ontario in their relationship with the government.","In 1970, the Department of Mines was expanded to include the activities of a new branch of the government, the Northern Affairs Branch. Reflecting this expansion of its activities, the Department was renamed the Department of Mines and Northern Affairs. Along with the new Northern Affairs Branch, the Department consisted of several other branches which had previously formed a part of the Department of Mines. These were: the Mining Lands Branch; the Mines Inspection Branch; the Geological Branch; and the Laboratory Branch. In addition, the Ontario Energy Board and the Ontario Northlands Transportation Commission were also attached to the Department. In 1972, the Department of Mines and Northern Affairs was merged with the Department of Lands and Forests to form the Ministry of Natural Resources.",,,,,,,,,,,,"MacTaggart, Hazel I. Publications of the Government of Ontario, 1956-1971 (1976). Canadiana Name Authorities, 1996-12-24. Ontario Department of Mines and Northern Affairs Review, 1970",Ontario. Ministry of Natural Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Mines and Northern Affairs,,,,,,,Ontario. Dept. of Mines,,,,,Rules for Archival Description,Approved,Y
3712,AA14,Ontario. Dept. of Planning and Development,,,"The Department of Planning and Development was established in 1944 to work with agricultural, industrial, labour, mining, trade and other associations and organisations and with public and private sector enterprises in order to create and maintain productive employment and to develop the human and material resources of the Province.","The Department of Planning and Development was established in 1944. One of the largest branches within the new department, and one which was to grow considerably, was the Trade and Industry Branch. Other branches that were created with the establishment of this Department were the Immigration Branch, the Community Planning Branch, and the Conservation Branch. The Department was also responsible for two agencies, Ontario House and the St. Lawrence Parks Commission. In 1955, the Civil Defence Committee of the Department of the Provincial Secreatary was transferred to the Department of Planning and Development and renamed the Civil Defence Branch. In 1960, it was again renamed, this time to the Emergency Measures Branch. On January 27, 1961, the Department of Planning and Development was renamed the Department of Commerce and Development.",,,,,,,,,,,,"MacTaggart, Hazel I. Publications of the Government of Ontario, 1901-1955 (1964). _____. Publications of the Government of Ontario, 1956-1971 (1975). Directories and Guides to Ontario Government Services, 1948-1961. Canadiana Name Authorities, 1995-03-15",Ontario. Dept. of Commerce and Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Planning and Development,,,,,,,,,,,,Rules for Archival Description,Approved,Y
3713,AA39,Ontario. Dept. of Public Welfare,,,"The Department of Public Welfare was responsible for a variety of programs and services that provided social assistance to individuals and families in Ontario. These services included mothers' allowances, old age pensions, soldiers' aid and veterans' welfare, child welfare, and houses of refuge and orphanages.","The Ontario Department of Public Welfare was originally established by Order-in-Council on September 17, 1930 on the recommendation of the Royal Commission on Public Welfare. Formal legislation regarding the new Department was passed in 1931. A number of existing branches and commissions within the Government of Ontario were at that time transferred to the new Department. These included the Mother's Allowances Commission, the Old Age Pensions Commission, the Soldier's Aid Commission, the Children's Aid Branch, Industrial Schools, Ontario Training Schools, Houses of Refuge, and Orphanages. Other branches  established within or transferred to the Department during its existence include the Unemployment Relief Branch, established in 1934; the Disabled Persons Allowances Branch, established in 1952; and the Rehabilitation Services Branch, created in 1961. The Department of Public Welfare was replaced with the Department of Social and Family Services in 1967.",,,,,,,,,,,,"MacTaggart, Hazel I. Publications of the Government of Ontario, 1901-1955 (1964). Canadiana Name Authorities, 1996-12-24",Ontario. Dept. of Social and Family Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Public Welfare,,,,,,,,,,,,Rules for Archival Description,Approved,Y
3714,AA40,Ontario. Dept. of Public Works,,,The Department of Public Works was responsible for providing and maintaining the buildings and other facilities necessary to house the operations of all departments of the Provincial Government of Ontario.,"On January 23, 1869, an Act was passed establishing the Department of Public Works for Ontario. The Act also established that the Department was to be presided over by the Commissioner of Agriculture and Public Works. This Commissioner, although responsible for both agriculture and public works, was referred to simply as the Commissioner of Public Works when dealing with matters related to public works. This situation was formally changed in 1874, when legislation was passed establishing a separate commissioner to be responsible for the Department of Public Works. In 1900, both the Office of the Commissioner of Highways and the Bureau of Labour were established as part of the Department of Public Works. In 1914, the Office of the Commissioner of Highways (by then renamed the Highways Branch), was elevated to Department status, becoming the Department of Public Highways. Similarly, by 1919, the Bureau of Labour had become the Department of Labour. Also in 1900, the Colonization Roads Branch was transferred to the Department of Public Works. Formerly with the Department of Crown Lands and responsible for constructing and repairing roads in sparsely settled areas of the province, this Branch was transferred to the Department of Lands, Forests and Mines in 1919. The Department of Public Works continued to exist until 1972, when its programs and functions were taken over by the newly created Ministry of Government Services.",Ontario. Dept. of the Commissioner of Agriculture and Public Works,,,,,,,,,,,"Bishop, Olga. Publications of the Government of the Province of Canada, 1841-1867 (1962). Bishop, Olga. Publications of the Government of Ontario, 1867-1900 (1976). MacTaggart, Hazel I. Publications of the Government of Ontario, 1901-1955 (1964). Canadiana Name Authorities, 1996-12-24",Ontario. Ministry of Government Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Ontario. Department of Public Works,,,,,,,Canada (Province). Dept. of Public Works,,,,,Rules for Archival Description,Review,Y
3715,AA71,Canada (Province). Dept. of Public Works,,,"The Department of Public Works for the Province of Canada was responsible for managing and controlling the construction, maintenance and repair of all canals, harbours, roads or parts of roads, bridges, slides, and other public works and buildings.","On June 9, 1846, legislation was passed which abolished the Board of Works of the Province of Canada and in its place, required the appointment of a chief commissioner and assistant commissioner to administer the construction and management of public works in the province. Although the Act did not specifically designate the office of the commissioners as a department, that is how the commissioners refer to it in their first annual report. In 1859, an ""Act to amend and consolidate the several Acts respecting the Public Works"" was passed, which saw the establishment of a single commissioner of public works, as well as the formal titling of the office as the Department of Public Works. The Department existed until 1867 when the British North America Act was passed. After this time, responsibility for public works in the new Province of Ontario was taken over by the Department of Public Works for Ontario, administered by the Commissioner of Agriculture and Public Works.",Canada (Province). Commissioners of Public Works,,,,,,,,,,,"Bishop, Olga. Publications of the Government of the Province of Canada, 1841-1867 (1962). Bishop, Olga. Publications of the Government of Ontario, 1867-1900 (1976)",Ontario. Dept. of Public Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Canada (Province). Department of Public Works,,,,,,,Canada (Province). Board of Works,,,,,Rules for Archival Description,Review,Y
3717,AA85,Ontario. Dept. of Revenue,,,"The Department of Revenue was responsible for tax administration and collection for the Province of Ontario, including taxes on motor fues, tobacco, retail sales,  estates, provincial lands, corporations and logging.","The Department of Revenue was established on April 23, l968 in response to the recommendations of the Ontario Committee on Taxation, which felt that the revenue functions of the Treasury Department merited separate ministerial attention. The Department consisted of the Office of the Minister, the Office of the Deputy Minister, the Revenue Division and the Administrative Services Division. Branches within the Revenue Division included the Gasoline Tax Branch, the Retail Sales Tax Branch, the Succession Duty Branch, and the Corporations Tax Branch and Logging Tax Branch. The Administrative Division provided accounting, personnel, and systems and programming services to both the Department of Revenue and the Department of Treasury and Economics. In 1972, the Government of Ontario was considerably reorganized as the various Departments were restructured and renamed as Ministries. With this change, the Department of Revenue was replaced with the Ministry of Revenue.",,,,,,,,,,,,"Canadiana Name Authorities, 1996-12- 24",Ontario. Ministry of Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Revenue,,,,,,,Ontario. Treasury Dept.,,,,,Rules for Archival Description,Approved,Y
3718,AA41,Ontario. Dept. of Social and Family Services,,,"The Department of Social and Family Services was responsible for the administration of a variety of programmes and services that provide social assistance to individuals and families in Ontario. These programmes and services include child welfare, day nurseries, old age assistance, homes for the aged, rest homes, disabled persons allowances, Ontario legal aid, and general welfare assistance.","The Department of Social and Family Services was established on March 22, 1967, replacing the Department of Public Welfare The Department consisted of a number of branches during its existence and was reorganized several times. Some of the branches that existed within the Department were the Child Welfare Branch, the Children's and Youth Institutions Branch, the Day Nurseries Branch, Family Benefits Branch (previously the Welfare Allowances Branch), Homes for the Aged-Office on Aging Branch, the Indian Community Development Services Branch, the Municipal Welfare Administration Branch, the Research and Planning Branch, the Training and Staff Development Branch, and the Vocational Rehabilitation Services Branch. The Department existed until 1972, when its functions were transferred to the new Ministry of Community and Social Services.",,,,,,,,,,,,"MacTaggart, Hazel I. Publications of the Government of Ontario, 1956-1971 (1975). Canadiana Name Authorities, 1996-12-24",Ontario. Ministry of Community and Social Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Social and Family Services,,,,,,,Ontario. Dept. of Public Welfare,,,,,Rules for Archival Description,Approved,Y
3720,AA58,Ontario. Dept. of the Commissioner of Agriculture and Arts,,,"The Department of the Commissioner of Agriculture and Arts was responsible for encouraging and developing the agricultural and manufacturing activities of Ontario (""arts"", at the time, referred to the application of industrial, manufacturing and scientific pursuits, rather than to its current cultural meaning). The department was also responsible for acquiring and publishing information and statistics, related to agriculture and industry, and for inspecting the books and accounts of the agricultural, arts and manufacturing societies and associations that were in receipt of government grants.","The Department of the Commissioner of Agriculture and Arts was formally established on March 2, 1877, replacing the Department of the Commissioner of Agriculture and Public Works. The Commissioner acted as head of the Bureau of Agriculture and Arts from 1877 until 1882, as well as the Bureau of Industries, which replaced the Bureau of Agriculture and Arts, from 1882 until 1888. The department was also responsible for a number of agricultural and arts- related agencies and associations, including: the Council of the Agricultural and Arts Association; the Association of Mechanics' Institutes of Ontario; the Ontario Society of Artists; the Fruit Growers' Association; the Entomological Society; the Dairymen's Association; and the Ontario Agricultural College and Experimental Farm, among others. In 1880, the arts-related responsibilities of the Commissioner, and the bureau, were transferred to the Department of Education. The name of the department, however, remained the Department of the Commissioner of Agriculture and Arts until March 23, 1888, when legislation was passed, renaming it the Department of Agriculture.",,,,,,,,,,,,"Bishop, Olga. Publications of the Government of Ontario, 1867-1900 (1976). Canadiana Name Authorities, 1996-12-24",Ontario. Dept. of Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of the Commissioner of Agriculture and Arts,,,,,,,Ontario. Dept. of the Commissioner of Agriculture and Public Works,,,,,Rules for Archival Description,Approved,Y
3722,AA57,Ontario. Dept. of the Environment,,,The Department of the Environment was responsible for research and policy development relating to the environmental  protection of the province. Activities included the conservation and preservation of air quality and the limitation of waste pollution.,"In 1971, the Department of Energy and Resources Management was reorganized and renamed the Department of the Environment in order to better reflect the Department's increased responsibilities with respect to environmental protection, conservation and preservation as outlined in the Environmental Protection Act of 1971. The Department consisted of the Office of the Minister, the Office of the Deputy Minister, an Administrative Services Branch, the Air Management Branch, the Waste Management Branch, and the Conservation Authorities Branch. In 1972, the Department of the Environment was amalgamated with the Ontario Water Resources Commission to form the Ministry of the Environment.",,,,,,,,,,,,"Canadiana Name Authorities, 1996-12-24. Government of Ontario Telephone Directory, 1971",Ontario. Ministry of the Environment (1972-1993),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of the Environment,,,,,,,Ontario. Dept. of Energy and Resources Management,,,,,Rules for Archival Description,Approved,Y
3724,AA32,Ontario. Dept. of the Provincial Secretary and Citizenship,,,"The Department of the Provincial Secretary and Citizenship was responsible for a variety of programs and functions concerned with the acquisition of civil information and the custody and care of certain government documents. As the Registrar General, the Provincial Secretary and Minister of Citizenship was responsible for matters relating to the registration of births, marriages and deaths in accordance with the provisions of the Vital Statistics Act. In addition, the Department was responsible for the custody of records of documents issued under the Great Seal of Ontario, the Privy Seal of the Lieutenant Governor, and the seal of the Provincial Secretary. Through the Citizenship Branch, the Department was also responsible for assisting in the integration of immigrants to the province through the provision of resource materials, advisory services, and language and citizenship classes.","The Department of the Provincial Secretary and Citizenship was established by an Act of the Ontario Legislature in January 1961, replacing the former Department of the Provincial Secretary. In addition to the establishment of a Citizenship Branch, this new Department was also given jurisdiction over the Office of the Speaker, along with related offices such as the Government Caucus Office, the Opposition Office and the New Democratic Office. Although these formally were part of the Department, it represented more of an administrative convenience than an alteration of the function of the Provincial Secretary's Department. Other offices and agencies attached to the Department were the Registrar General's Office, the Office of the Clerk of the Legislative Assembly, the Recording Office, the Marriage Office, the Legislative Library, the Queen's Printer, the Community Development Branch and the Indian Community Branch. On April 1, 1972 the government of Ontario was altered profoundly as new Ministries were created replacing all existing Departments. The Department of the Provincial Secretary and Citizenship ceased to exist and its functions were dispersed to several different Ministries.",,,,,,,,,,,,"Canadiana Name Authorities, 1996-12-24. Directory and Guide to the Services of the Government of Ontario, 1967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of the Provincial Secretary and Citizenship,,,,,,,Ontario. Dept. of the Provincial Secretary,,,,,Rules for Archival Description,Approved,Y
3725,AA2,Ontario. Dept. of Tourism and Information,,,"The Department of Tourism and Information was responsible for developing the tourist industry in Ontario by encouraging and promoting improvement in the standards of accommodation, facilities and services offered to tourists, and by undertaking the publicizing of the tourist industry and of the resources, attractions and advantages of Ontario.","In March of 1964, the Department of Tourism and Information absorbed all branches of the former Department of Travel and Publicity as well as those of the Huronia Historical Development Council. Several departmental name changes occurred at this time: the Development Branch became the Tourist Industry Development Branch, the Information Branch became the Tourist Promotion and Information Branch, and the re- established Publicity Branch took over the functions of the Photography Branch including the Photo Library. The Publicity Branch, Advertising Branch and Tourist Promotion and Information Branch formed the Information and Promotion Division. In April of 1972 the Department of Tourism and Information merged with the Department of Trade and Development to become the Ministry of Industry and Tourism.",,,,,,,,,,,,"Heading established from Canadiana Name Authorities. Annual Reports of the Department of Tourism and Information, 1964-1972. KWIC Indexes, 1965-1967",Ontario. Ministry of Industry and Tourism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Tourism and Information,,,,,,,Ontario. Dept. of Travel and Publicity,,,,,Rules for Archival Description,Approved,Y
3726,AA20,Ontario. Dept. of Trade and Development,,,"The Department of Trade and Development worked to promote trade and industrial expansion in Ontario by assisting Ontario companies seeking to expand their export markets; working to attract manufacturing industries to the province; providing information and consultative services for industries in Ontario wishing to expand; and providing conferences, exhibits, and trade shows promoting Ontario products and companies.","On 11 April 1968, the Department of Economics and Development ceased to exist and the Department of Trade and Development assumed those functions formerly undertaken by the Trade and Industry Branch. In essence, the branch was elevated into a department, and the former sections of the branch became new branches within the department. In addition to the Trade and Industry Division, the Department consisted of an Information Services Branch, the Selective Immigration Service (renamed from the Immigration Branch in 1969), the Special Projects and Planning Division, and a Finance and Administration Division. The department also contained a variety of other agencies which promoted Ontario's economic development. Among these were the Ontario Research Foundation, the Ontario Development Corporation and the Ontario Housing Corporation. Ministers for this Department were Stanley J. Randall (1968 1970) and Allan Grossman (1971-1972). The Department of Trade and Development merged with the Department of Tourism and Information in April 1972 to form the Ministry of Industry and Tourism.",,,,,,,,,,,,"Canadiana Name Authorities, 1995-03-15",Ontario. Ministry of Industry and Tourism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Trade and Development,,,,,,,Ontario. Dept. of Economics and Development,,,,,Rules for Archival Description,Approved,Y
3727,AA45,Ontario. Dept. of Transport,,,"The Department of Transport was responsible for the administration of matters relating to motor vehicle traffic, including the licensing of motor vehicles, the examination of drivers, and highway safety.","The Department of Transport was established by legislation on July 1, 1957. One of the primary branches of the new Department was the Motor Vehicles Branch, which had previously been a part of the Department of Highways. Although the Department consisted of a number of branches during its existence, the responsibilities of the Department, and thus the branches, tended to focus around certain primary functions. These included vehicle licensing, vehicle inspection, driver examination, driver licensing and improvement, traffic engineering, accident claims, and highway safety. In addition, the Department was responsible for the Ontario Highway Transport Board. In May of 1971, the Department of Transport and the Department of Highways were amalgamated to form the Department of Transportation and Communications.",,,,,,,,,,,,"Directory and Guide to Services of the Ontario Government, 1948-1967. MacTaggart, Hazel. Publications of the Government of Ontario, 1956-1971 (1975). Canadiana Name Authorities, 1996-12-24",Ontario. Dept. of Transportation and Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Transport,,,,,,,,,,,,Rules for Archival Description,Approved,Y
3728,AA48,Ontario. Dept. of Transportation and Communications,,,"The Department of Transportation and Communications was responsible for the highways of Ontario and for assisting municipalities in road construction and maintenance. The Department was also responsible for government policy with respect to communications and for maintaining a liaison with other provincial and federal agencies on communications issues. Activities of the Department included: the development of transportation and communication policies; the design, construction and maintenance of highways; driver and vehicle safety; and the administration of public transportation systems operated by the Government of Ontario.","The Department of Transportation and Communications was established in May of 1971, with the amalgamation of the Department of Transport with the Department of Highways. The Department was presided over by the Hon. Charles MacNaughton, who had been both the Minister of Highways and the Minister of Transport prior to the amalgamation of the two Departments. The Department consisted of a number of branches, organized into divisions. These divisions were, in turn, grouped together under the administration of either the Deputy Minister or one of two Assistant Deputy Ministers. Under the administration of the Deputy Minister were the Registration of Motor Vehicles Division, the Research Division, and the Policy Development Division. Under the Assistant Deputy Minister-Engineering, were the Design Division and the Operations Division, and under the Assistant Deputy Minister-Administration were the Financial and Services Division, the Right-of-Way Division, and responsibility over the five Regional Offices of the Department. Agencies which reported to the Department included the Ontario Northland Transportation Commission, the Ontario Telephone Service Commission, and the Ontario Highway Transport Board. In 1972, the Department of Transportation and Communications was renamed the Ministry of Transportation and Communications.",,,,,,,,,,,,"Government of Ontario Telephone Directory, 1971. Canadiana Name Authorities, 1996-12-24",Ontario. Ministry of Transportation and Communications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Transportation and Communications,,,,,,,Ontario. Dept. of Transport.,Ontario. Dept. of Highways,,,,Rules for Archival Description,Approved,Y
3729,AA1,Ontario. Dept. of Travel and Publicity,,,"The Department of Travel and Publicity developed the tourist industry in Ontario by encouraging and promoting improvement in the standards of accommodation, facilities and services offered to tourists and by undertaking the publicizing of the tourist industry and of the resources, attractions and advantages of Ontario.","The Department of Travel and Publicity came into existence on April 1, 1946, replacing the Travel and Publicity Bureau. At establishment, the Department of Travel and Publicity consisted of approximately fifteen employees in four branches - the Publicity Branch, the Information Branch, the Winter Promotion Branch, and the Development Branch. In 1947, the Public Information Division became the fifth component of the Department of Travel and Publicity with responsibility for publicizing government activities. In 1958, the Historical Branch was established and the Theatres Branch was transferred over from the Treasury Department. In 1963, the Travel Research Branch also became part of the Department of Travel and Publicity. In 1964, the department was replaced with the Department of Tourism and Information.",,,,,,,,,,,,"Heading established in Canadiana Name Authorities. Annual Reports of the Department of Travel and Publicity, 1946-1963. KWIC Indexes, 1965-1967",Ontario. Dept. of Tourism and Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Travel and Publicity,,,,,,,Ontario. Travel and Publicity Bureau,,,,,Rules for Archival Description,Approved,Y
3730,AA33,Ontario. Dept. of Treasury and Economics,,,"The Ontario Department of Treasury and Economics was responsible for financial, economic, accounting and taxation policy, and the management of government investments and the public debt.","The Department of Treasury and Economics was established in June 1968 from the amalgamation of the Treasury Department with the economics functions of the Department of Economics and Development. The Department consisted of the Office of the Minister, the Office of the Deputy Minister, and four divisions -  Policy and Planning, Economic and Statistical Services, Government Accounts, and Finance. In addition, an Administration Division provided administrative and organizational support to both the Department of Treasury and Economics, and to the Department of Revenue. Agencies which reported to the Department included the Ontario Racing Commission, the Public Service Superannuation Board, and the Pension Committee of Ontario. In 1972, the Government of Ontario was considerably restructured as the various Departments were reorganized as Ministries. With this change, the Department of Treasury and Economics was amalgamated with the Department of Municipal Affairs to form the Ministry of Treasury, Economics and Intergovernmental Affairs.",,,,,,,,,,,,"Canadiana Name Authorities, 1996-12- 24. Government of Ontario Telephone Directories, 1969-1971. MacTaggart, Hazel. Publications of the Government of Ontario 1956-1971 (1975)","Ontario. Ministry of Treasury, Economics and Intergovernmental Affairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of Treasury and Economics,,,,,,,Ontario. Treasury Dept.,,,,,Rules for Archival Description,Approved,Y
3731,AA74,Ontario. Dept. of University Affairs,,,"The Department of University Affairs was responsible for administering the government's support programs for higher education. Activities of the Department included the provision of operating grants to universities; calculating capital building grants based on projected enrolment; and the provision of student loans and awards through the Ontario Student Awards Program, the Ontario Graduate Fellowship Program, Ontario Scholarships and other awards.","In May, 1964, legislation was passed establishing the Department of University Affairs. Presiding over the Department was the Minister of University Affairs. This position, however, was held by the Minister of Education. Agencies which reported to the Ministry included the Committee on University Affairs and the Commission to Study Post-Secondary Education in Ontario, which was established in 1969. The Department also had - since the late 1960s - financial jurisdiction over the Ontario College of Art, the Royal Ontario Museum, the Royal Botanical Gardens and the Art Gallery of Ontario. In October 1971, the Department's staff was doubled by the addition of the Applied Arts and Technology Branch of the Department of Education. In light of this expansion of functions, the name of the Department was changed to the Department of Colleges and Universities.",,,,,,,,,,,,"Directory and Guide to Services of the Ontario Government, 1965-1967. Government of Ontario Telephone Directories, 1968-1971",Ontario. Dept. of Colleges and Universities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Ontario Government Name,,Department of University Affairs,,,,,,,,,,,,Rules for Archival Description,Approved,Y
